介消息准吗?是真的最好了!,0,0
这是在为六一做准备么，保证宝宝们的安全！,1,1
又是为老百姓制定的...,1,1
是真的吗？小新为上，开车的朋友注意了,0,0
真的假的呀？没看到什么官方的发布啊,0,0
半年前编这条儿的几个人都抓了，您老人家不看新闻啊？,1,1
是高清无码的么？,0.8,0.8
哇六一节大家不要喝酒哦~~,1,1
真的吗?可得小心了，千万不要闯黄灯了，那我坐副驾也要系安全带了。,0,0
开车的朋友注意了,1,1
谁有高清探头的位置分布图！,0.8,0.8
你怎么不让司机去死呢！！！更痛快,1,1
这条谣言被辟谣都快2年了，这企业官方微博能干点正经人事吗？鼓励大家遵守交规也用点正当方式好吧？,1,1
先把撞死人的事情查查清楚吧,1,1
那我工资还不够我闯黄灯的呢,0.4,0.4
又开始创收喽。。,0.6,0.6
JC为了挣钱不顾一切了！价码还是挺清晰的,0,0
刚刚百度了一下，似乎是假新闻,1,1
真的假的啊？,0,0
自己看看吧,1,1
逼死我算了。,1,1
“副驾驶不系安全带相同处罚”，是指罚谁？。。。,0.8,0.8
蓝田瑕玉：这条谣言被辟谣都快2年了，这企业官方微博能干点正经人事吗？鼓励大家遵守交规也用点正当方式好吧？(今天11:27),1,1
当然是车主了,0.8,0.8
观望中。。。,1,1
可能真是假的，同样的话一字不变的出现在了很多不同时间段的新闻里。无聊啊～～～,1,1
全市高清探头启用，拍摄打电话、副驾驶不系安全带等违法行为。近日，这样一条信息通过短信、微博在市民中传播，不少司机惊叹于高清探头的威力。昨日，交管部门表示，交管部门从未发过此类信息，但是对于违法行为一直在严格查处。,1,1
扩散提醒！,1,1
搜不鸟啊~~搜不鸟~~真是不给我这种不爱系安全带的人活路~~还好我不常坐副驾~~,1,1
貌似前段时间很多地方都是这么说的这么传的有待考证。不过我们确实享受着全球最多的电子眼监视！,1,1
科学又进步了。,1,1
疯了，以后可咋整,0.6,0.6
在澳洲，别说副驾驶了，就算是后排座，或者小宝宝都要系安全带！每人次3分，如果车上4个人都没带安全带，那直接就吊销驾照了。,0,0
墙裂支持罚越线停车~上次追尾就是我前面那车半个车身在斑马线上了一个急刹，我还全责╮(╯_╰)╭,1,1
交管局已经辟谣了！无须紧张！,1,1
还能白痴点吗？嘀嗒招这样的微博管理人员也够口了，哪辈子的假新闻了，还有脸在这发布！赶紧回家喂奶去吧……,1,1
又开始不过脑子的转发，这消息2会前就出来过，假的。,1,1
这条假消息从去年底就开始传，先是北京，后上海。。。现在又回北京。,1,1
你坐时候记着系安全带！！拜托！跪谢！还有谁坐谁系！,1,1
甭管是不是真的，小心为上,0,0
这是在为六一做准备么，保证宝宝们的安全！,1,1
请注意啦！,0.4,1
大家注意了，大家注意了，现在播送一条通知！,1,1
转给有车一族以及从不系安全带的副驾驶们,0.8,0.8
开车的朋友要注意啦,1,1
是真的吗？小新为上，开车的朋友注意了,0,0
你们都小心点哈哈哈,1,1
2011年海南也流传过，这种谣言有意思么？,1,1
请加强学习！,0,0
交通队资金紧张了吧~闯黄灯还罚款,0.6,0.6
真的假的打电话都不行了,0,0
什么情况啊,1,1
这消息准确么？,1,1
我也不晓得啊，反正开车要小心。,0.4,0.4
以前探头没有开么？,1,1
开车的人注意啦,0.4,1
开车的都注意啦,0.4,1
好多可以罚款的点哦....,1,1
开车要小心！！另外转给Jason吧。。。,1,1
我都不寄安全带,0.8,1
有这事吗？,1,1
重点关注！,0,0
那就是谣言！,1,1
。。。。。。。。。,0,0
動真格的了這回……,0.8,0.8
这也太严了吧。。,0.6,0.6
注意注意！,0.4,1
不好说诶，开车算骑兵还是步兵呢,0,0
哇六一节大家不要喝酒哦~~,1,1
想不起来还有谁家里有车了。。。,1,1
真的吗?可得小心了，千万不要闯黄灯了，那我坐副驾也要系安全带了。,0,0
别听他们胡说八道，早就辟谣了的,1,1
以后得被罚死，,0.6,0.6
这个好像都说了多少次了，狼到底是来没来呢,1,1
萌哥表示无压力啊,1,1
开车的朋友注意了,1,1
谁有高清探头的位置分布图！,0.8,0.8
不管真的假的都要注意了，别再闯黄灯了，副驾驶安全带的“小钥匙”拔掉吧。,0,0
你这开车发短信的要注意了！,0.4,1
真的假的啊！,0,0
宁可信其有哈！,0.2,0.4
都已经证实是假消息了。。。而且是很久之前的。。。,1,1
真的假的？,0,0
谢谢，开车提心吊胆的。,1,1
穷疯了，只能摘车牌应对了,0.4,0.4
貌似我从来都没有系过啊,1,1
除了酒驾，我都占全了。。。,0.8,0.8
要不你试试,0,0
╮(╯▽╰)╭看来又有人缺钱了啊,1,1
截止到几点？,0.8,0.8
你现在能开了没？,1,1
真的假的？？！！这也太恐怖了！！,0,0
必须注意了,1,1
一条很老的假新闻,1,1
真的假的~！,0,0
昨天晚上还碰到查酒驾的呢，“停车检查”、“限速30”的牌子隔几米就立一个，还有摄像机现场拍摄，场面够壮观的！,1,1
有这事嘛求内幕,1,1
有！还是系好安全带吧,0,0
传说中的法无定法,0.8,0.8
也不知道真的假的，之前好像就听过,0,0
你怎么不让司机去死呢！！！更痛快,1,1
这帮傻比是TM又疯了么。。。,1,1
这是真的么？,0,0
恩，好久之前就辟谣了,1,1
是真的吗？我怎么觉得不可能执行的这么到位呢。不过，宁可信其有。。。,0,0
我有必要说假话么？丰台村里都这么查了，城里的朋友也注意下吧！,1,1
这玩意不是说是谣传么，又上得了台面了？,0,0
这不是都辟过谣的事了么,0,0
是不是以后每个月的开支预算里，应该把这些都加上了？,1,1
交警队穷疯了吧，北京的红绿灯不带读秒的，突然变黄灯根本刹不住,1,1
这我开车时候不打电话我就不会开车了啊！贾俊还好。于总回头又不上牌子了你看着的。,0.2,0.2
晕，我比较爱闯黄闪,0.8,0.8
大家注意，不要被罚款！,1,1
我去…要命呢这是,0,0
还让不让人活了,0.8,1
小心！！！,0.4,1
都注意吧！,0.4,1
珍惜生命远离汽车,0.4,0.4
大家注意昂…虽不知真伪…但是预防为主…,1,1
这个得转！,1,1
是真的吗？,0,0
转给从不系安全带的副驾驶们,0.8,0.8
#三环组#,0,0
真的假的啊,0,0
还是骑车吧..,0,0
我很老实，没有不系安全带的习惯,1,1
爱抢黄灯的要注意了,0.4,1
我擦，各种罚款是吗！,0,1
这么可怕？！！！,1,1
老公看看呀,1,1
是真的吗？太可怕啦,0,0
又开始创收喽。。,0.6,1
上海搞不搞这个？,1,1
JC为了挣钱不顾一切了！价码还是挺清晰的,0,0
马克果断转起....,0.4,0.4
真的假的？,0,0
刚刚百度了一下，似乎是假新闻,1,1
无车可开的飘过,0,0
太他妈恐怖了,0.2,0.2
开车的同志注意了啊~,0.4,1
真的假的啊？,0,0
广州前段时间也已经开始这样了,1,1
转给开车的人们,1,1
大家注意了啊尤其是你迷糊大王,1,1
